itemId,barcode,name,categoryId,kind,unit,trackBy,minStock,active,keterangan,artId
ITM-0001,ALQ-ITM-0001,Sabun cuci tangan,CAT-KEBERSIHAN,consumable,galon,quantity,5,TRUE,,
ITM-0002,ALQ-ITM-0002,Pembersih lantai,CAT-KEBERSIHAN,consumable,botol,quantity,6,TRUE,,
ITM-0003,ALQ-ITM-0003,Karbol wangi,CAT-KEBERSIHAN,consumable,botol,quantity,4,TRUE,,
ITM-0004,ALQ-ITM-0004,Kanebo,CAT-KEBERSIHAN,consumable,buah,quantity,(-),TRUE,,
ITM-0005,ALQ-ITM-0005,Kain pel,CAT-KEBERSIHAN,consumable,buah,quantity,4,TRUE,,
ITM-0006,ALQ-ITM-0006,Kantong sampah besar,CAT-KEBERSIHAN,consumable,pak,quantity,3,TRUE,,
ITM-0007,ALQ-ITM-0007,Sapu lidi,CAT-KEBERSIHAN,equipment,buah,quantity,(-),TRUE,,
ITM-0008,ALQ-ITM-0008,Alat pel,CAT-KEBERSIHAN,equipment,set,quantity,(-),TRUE,,
ITM-0009,ALQ-ITM-0009,Lampu LED 12W,CAT-LISTRIK,consumable,buah,quantity,10,TRUE,,
ITM-0010,ALQ-ITM-0010,Kabel roll 10m,CAT-LISTRIK,equipment,roll,quantity,(-),TRUE,,
ITM-0011,ALQ-ITM-0011,Obeng set,CAT-LISTRIK,equipment,set,instance,(-),TRUE,,
ITM-0012,ALQ-ITM-0012,Tangga lipat,CAT-SIPIL,equipment,buah,instance,(-),TRUE,,
ITM-0013,ALQ-ITM-0013,Pisau potong,CAT-PHBI,equipment,buah,instance,(-),TRUE,,
ITM-0014,ALQ-ITM-0014,Talenan besar,CAT-PHBI,equipment,buah,quantity,(-),TRUE,,
ITM-0015,ALQ-ITM-0015,Terpal 4x6,CAT-PHBI,equipment,lembar,quantity,(-),TRUE,,
ITM-0016,ALQ-ITM-0016,Tali tambang,CAT-PHBI,consumable,roll,quantity,2,TRUE,,
ITM-0017,ALQ-ITM-0017,Timbangan gantung,CAT-PHBI,equipment,buah,instance,(-),TRUE,,
ITM-0018,ALQ-ITM-0018,Tisu gulung,CAT-KEBERSIHAN,consumable,pak,quantity,4,TRUE,,
ITM-0019,ALQ-ITM-0019,Pengharum ruangan,CAT-KEBERSIHAN,consumable,botol,quantity,3,TRUE,,
ITM-0020,ALQ-ITM-0020,Sabun cuci piring,CAT-KEBERSIHAN,consumable,botol,quantity,2,TRUE,,
ITM-0021,ALQ-ITM-0021,Sikat lantai,CAT-KEBERSIHAN,equipment,buah,quantity,(-),TRUE,,
ITM-0022,ALQ-ITM-0022,Ember besar,CAT-KEBERSIHAN,equipment,buah,quantity,(-),TRUE,,
ITM-0023,ALQ-ITM-0023,Keset masjid,CAT-KEBERSIHAN,consumable,lembar,quantity,(-),TRUE,,
ITM-0024,ALQ-ITM-0024,Stop kontak,CAT-LISTRIK,consumable,buah,quantity,3,TRUE,,
ITM-0025,ALQ-ITM-0025,Saklar,CAT-LISTRIK,consumable,buah,quantity,4,TRUE,,
ITM-0026,ALQ-ITM-0026,Lakban listrik,CAT-LISTRIK,consumable,roll,quantity,3,TRUE,,
ITM-0027,ALQ-ITM-0027,Speaker aktif,CAT-ELEKTRONIK,equipment,buah,instance,(-),TRUE,,
ITM-0028,ALQ-ITM-0028,Mikrofon,CAT-ELEKTRONIK,equipment,buah,instance,(-),TRUE,,
ITM-0029,ALQ-ITM-0029,Kabel audio 5m,CAT-ELEKTRONIK,equipment,roll,quantity,(-),TRUE,,
ITM-0030,ALQ-ITM-0030,Kran air,CAT-SANITASI,consumable,buah,quantity,2,TRUE,,
ITM-0031,ALQ-ITM-0031,Pipa PVC 4m,CAT-SANITASI,consumable,batang,quantity,2,TRUE,,
ITM-0032,ALQ-ITM-0032,Selang air 10m,CAT-SANITASI,equipment,roll,quantity,(-),TRUE,,
ITM-0033,ALQ-ITM-0033,Lem pipa,CAT-SANITASI,consumable,botol,quantity,2,TRUE,,
ITM-0034,ALQ-ITM-0034,Palu,CAT-SIPIL,equipment,buah,instance,(-),TRUE,,
ITM-0035,ALQ-ITM-0035,Gergaji,CAT-SIPIL,equipment,buah,instance,(-),TRUE,,
ITM-0036,ALQ-ITM-0036,Paku 5cm,CAT-SIPIL,consumable,kg,quantity,2,TRUE,,
