itemId,locationId,initialStock
ITM-0001,LOC-A1,12
ITM-0002,LOC-A1,7
ITM-0003,LOC-A1,4
ITM-0004,LOC-A2,18
ITM-0005,LOC-A2,7
ITM-0006,LOC-A3,2
ITM-0007,LOC-K1,6
ITM-0008,LOC-K1,4
ITM-0009,LOC-B2,24
ITM-0010,LOC-B2,3
ITM-0011,LOC-B1,2
ITM-0012,LOC-B1,2
ITM-0013,LOC-P1,12
ITM-0014,LOC-P1,6
ITM-0015,LOC-P2,10
ITM-0016,LOC-P2,4
ITM-0017,LOC-P2,2
ITM-0018,LOC-A4,9
ITM-0019,LOC-A4,6
ITM-0020,LOC-A1,4
ITM-0021,LOC-K1,5
ITM-0022,LOC-K1,8
ITM-0023,LOC-K2,14
ITM-0024,LOC-B1,7
ITM-0025,LOC-B1,2
ITM-0026,LOC-B1,11
ITM-0027,LOC-B3,4
ITM-0028,LOC-B3,3
ITM-0029,LOC-B3,5
ITM-0030,LOC-C1,5
ITM-0031,LOC-C1,3
ITM-0032,LOC-C1,2
ITM-0033,LOC-C1,1
ITM-0034,LOC-C2,3
ITM-0035,LOC-C2,2
ITM-0036,LOC-C2,4
ITM-0037,LOC-C2,2
ITM-0038,LOC-C2,6
ITM-0039,LOC-C2,4
ITM-0040,LOC-B1,2
ITM-0041,LOC-P3,4
ITM-0042,LOC-P3,8
ITM-0043,LOC-P3,12
ITM-0044,LOC-P1,3
ITM-0045,LOC-P3,5
ITM-0046,LOC-P2,2
ITM-0047,LOC-P2,2
ITM-0048,,5
ITM-0049,,3
ITM-0050,,1
ITM-0001,LOC-K2,4
